Maximum_speed (km/h),Average_speed (km/h),Std_speed,Avg_acc (m/s^2),Std_acc,Mean_pos_acc,Mean_neg_acc,Avg_abs_jerk,Std_abs_jerk,Brake_time_pct,Acc_time_pct,Decel_time_pct,Const_speed_pct
99.68,72.89,7.86,0.87,0.6,1.44,-2.2,1.75,0.92,3.93,18.25,31.98,50.43
62.7,34.72,10.38,-0.39,0.56,1.75,-0.96,2.01,0.96,20.66,25.18,26.99,47.69
80.44,58.28,14.49,0.89,0.54,1.13,-1.59,3.07,0.82,16.64,35.49,17.75,45.43
64.31,45.57,12.73,0.65,0.96,1.03,-1.41,1.04,0.08,22.53,31.57,31.59,38.76
105.71,67.74,9.99,-1.22,0.59,0.04,-1.67,1.52,0.93,9.77,28.74,29.21,42.4
111.44,65.86,7.77,-0.22,0.31,0.78,-0.28,1.43,0.64,2.33,26.9,22.41,52.21
92.58,62.47,3.27,-0.1,0.45,0.9,-0.99,2.92,0.6,9.73,25.56,27.38,44.95
85.81,66.37,5.62,1.04,0.5,1.57,-2.18,1.18,0.96,1.74,31.36,23.7,43.04
98.83,55.43,3.02,-0.27,0.66,1.43,-1.6,1.13,0.9,10.66,26.52,28.05,41.81
72.12,51.3,12.64,0.34,0.49,1.25,-0.97,2.27,0.57,9.56,29.44,27.04,47.19
101.47,73.43,14.93,0.48,0.41,1.03,-1.25,3.36,0.65,15.1,38.01,23.83,38.35
63.65,46.02,6.83,-1.51,0.67,0.97,-1.01,3.07,1.1,18.18,30.79,28.75,38.54
65.69,37.02,12.41,0.27,0.49,1.02,-1.88,3.42,0.28,24.96,32.36,28.03,41.3
119.18,92.09,8.29,0.14,0.6,0.98,-1.59,0.85,0.66,7.25,33.64,24.34,43.63
58.36,36.37,6.09,0.03,0.65,1.42,-1.45,2.93,0.75,18.16,38.03,23.53,40.12
118.33,85.67,10.85,0.11,0.87,1.36,-1.93,2.38,0.49,14.14,28.22,24.45,44.46
90.61,64.19,34.78,0.14,0.57,0.83,-1.48,5.12,0.96,13.91,38.31,18.81,43.05
58.79,34.84,8.11,1.63,0.49,1.61,-1.4,1.77,0.79,26.95,26.39,28.94,45.59
114.39,62.76,13.03,-0.4,0.46,0.87,-1.82,1.48,0.81,6.59,32.67,21.43,46.79
69.39,46.45,7.98,0.15,0.32,1.73,-1.31,2.65,1.57,20.15,35.29,22.14,41.15
133.66,110.03,4.7,-0.3,0.92,0.84,-1.38,2.0,0.32,8.63,25.8,30.47,41.23
63.41,42.84,11.1,0.43,0.71,0.96,-1.1,2.68,0.36,21.43,37.2,22.43,41.34
106.4,74.8,8.17,0.79,0.6,1.66,-1.58,2.43,0.74,14.29,16.46,32.07,49.87
89.53,72.38,12.09,-0.68,0.44,1.19,-1.92,2.32,0.7,14.33,29.39,30.07,41.14
78.27,58.8,12.04,1.05,0.51,0.11,-0.93,3.4,0.76,20.13,37.88,25.17,34.35
100.93,79.39,3.96,-0.36,0.56,0.55,-0.97,1.95,1.19,0.61,32.97,15.24,52.08
73.23,44.08,13.7,0.97,0.85,1.09,-1.39,2.62,1.24,11.74,31.36,25.48,44.02
97.58,74.15,14.99,1.98,0.78,1.51,-1.41,2.39,0.66,14.43,28.75,19.8,48.95
89.95,51.56,11.36,0.56,0.42,1.76,-1.57,1.61,0.91,4.35,27.48,22.52,48.62
63.56,44.06,13.33,-0.16,0.44,1.5,-0.93,2.19,0.53,21.3,38.36,16.18,45.04
124.76,78.56,5.69,0.15,0.54,2.09,-1.72,2.37,0.9,6.71,29.22,24.74,45.53
76.05,57.61,9.46,0.72,0.83,1.27,-1.54,2.51,0.45,15.18,30.17,22.51,46.76
76.69,52.16,12.75,0.43,0.55,1.36,-2.16,2.33,0.82,22.17,40.72,13.28,45.07
117.33,85.17,6.76,1.18,0.55,1.07,-1.32,1.74,0.62,4.1,32.38,25.27,43.87
86.49,45.01,14.7,-0.01,0.28,1.62,-2.37,1.87,1.06,17.26,27.9,32.17,39.17
79.65,52.96,11.01,-0.9,0.75,1.12,-1.27,3.64,0.8,16.53,23.74,25.28,47.98
93.46,49.72,9.81,1.11,0.64,1.39,-1.21,1.91,0.44,6.66,33.95,22.12,46.38
82.95,50.0,10.06,2.17,0.61,0.62,-1.18,2.91,1.24,7.79,25.9,33.99,43.51
81.8,52.41,12.79,0.65,0.52,1.06,-1.02,3.04,0.59,14.73,32.56,22.35,45.98
50.25,35.49,12.9,-1.44,0.58,1.21,-1.61,3.14,0.67,16.85,28.91,21.83,49.56
51.81,37.63,12.68,-0.45,0.11,1.14,-2.02,1.72,0.33,17.53,35.22,22.07,45.36
93.07,64.92,13.39,0.21,0.55,0.86,-2.79,0.61,0.67,11.46,28.64,25.1,48.93
69.98,41.99,13.79,-0.12,0.75,1.01,-0.93,1.23,0.64,20.26,30.08,29.59,36.79
92.59,65.07,8.28,0.78,0.51,1.52,-0.58,1.47,0.56,7.76,26.02,27.78,48.37
125.25,108.92,7.28,-0.01,0.79,1.2,-0.86,0.86,0.51,6.85,33.28,19.78,46.63
81.72,52.62,7.44,-0.35,0.23,1.47,-1.94,2.27,0.49,15.78,28.48,22.82,51.66
55.91,35.26,1.26,0.66,0.65,1.23,-1.87,2.05,1.1,16.59,29.82,18.52,50.19
97.84,56.36,7.43,1.7,0.67,1.26,-1.08,1.87,0.96,4.39,33.85,22.86,43.54
53.52,35.63,7.52,0.38,0.72,0.45,-1.42,1.59,0.66,24.62,31.54,22.51,48.82
64.62,46.86,11.62,-1.71,0.32,0.98,-0.62,3.16,0.94,12.52,20.97,28.32,51.92
97.97,54.15,5.27,0.18,0.7,1.68,-0.92,0.07,0.75,8.69,30.7,23.38,46.39
100.27,74.06,5.6,-0.1,0.52,1.68,-1.15,3.27,0.91,6.36,35.3,25.32,36.59
109.36,85.79,11.28,1.59,0.75,1.13,-1.6,2.1,0.83,14.94,26.7,20.29,50.67
108.46,77.63,4.66,-0.09,0.35,1.62,-2.04,2.75,1.17,11.74,27.69,17.01,55.98
111.04,86.11,10.24,1.76,0.65,1.04,-1.48,1.18,0.81,2.54,32.76,24.85,42.75
48.71,26.67,9.44,0.51,0.86,0.52,-1.44,2.32,0.84,25.1,28.75,25.26,46.66
80.06,47.79,11.32,0.13,0.66,2.04,-1.1,2.39,0.42,19.22,28.3,26.84,46.56
89.45,58.58,14.64,-1.15,0.48,1.92,-2.08,3.16,0.75,19.0,29.16,31.58,40.93
61.71,49.0,15.5,-0.31,1.15,0.66,-1.35,2.63,1.16,10.19,30.35,21.53,47.88
116.94,90.98,7.71,0.68,0.57,1.13,-1.38,0.98,0.72,0.51,35.7,25.43,41.28
86.04,52.8,17.61,0.66,0.4,1.02,-0.09,1.42,0.45,16.14,32.1,24.41,45.03
70.77,45.02,5.16,0.03,0.41,1.34,-0.47,2.13,1.04,11.5,22.54,30.5,45.55
107.69,62.88,8.42,0.57,1.02,1.11,-1.64,1.48,1.44,3.68,40.9,22.27,38.58
87.33,61.72,11.85,1.32,0.64,0.88,-0.08,2.11,0.56,7.28,24.52,24.7,50.73
105.58,75.25,6.46,-1.2,0.35,1.49,-0.74,0.33,1.36,3.64,25.63,22.9,50.77
87.75,56.15,5.99,-0.35,0.47,1.08,-1.03,1.68,0.9,4.6,38.66,21.86,37.96
90.16,72.63,7.37,1.17,0.91,1.68,-1.04,0.52,0.86,14.53,34.18,17.66,49.44
57.55,44.61,15.77,0.33,0.75,1.21,-0.43,1.83,1.01,21.22,34.31,25.36,36.92
56.35,43.47,14.69,-0.68,0.25,0.71,-1.09,2.69,0.62,22.94,26.48,27.04,46.01
94.0,59.61,13.17,-0.79,0.66,1.36,-1.75,3.3,0.87,9.17,24.88,30.97,43.88
110.5,84.96,13.77,-0.67,0.48,0.82,-1.04,2.42,1.04,9.29,24.39,33.06,43.55
71.32,51.57,6.19,-0.26,0.28,1.06,-1.55,1.76,0.36,19.06,34.71,17.01,48.76
108.33,82.86,10.81,1.44,0.73,2.17,-1.59,0.79,0.78,10.27,38.96,21.6,42.41
65.94,51.26,15.1,0.29,0.6,1.02,-1.16,1.31,0.85,15.75,31.3,24.93,41.22
100.06,56.15,5.48,-0.47,0.8,0.84,-1.55,0.9,0.9,10.28,26.96,21.48,50.93
90.67,51.66,11.44,-0.26,0.58,1.65,-1.02,1.42,0.78,6.04,31.02,24.51,43.57
63.23,37.34,13.43,-0.95,0.51,0.53,-1.31,0.98,1.03,17.6,21.45,23.73,54.85
71.85,48.81,12.85,1.08,0.6,1.68,-1.93,1.59,0.59,16.23,20.27,32.52,45.02
85.34,58.54,17.5,-0.12,0.65,1.2,-0.97,3.21,0.87,21.91,28.83,25.34,45.75
81.0,55.56,11.15,0.95,0.46,1.22,-0.93,2.75,0.73,13.18,34.53,28.64,37.13
73.78,61.72,28.92,0.31,0.49,2.02,-1.43,4.86,0.9,39.82,27.18,34.01,37.21
122.12,95.58,11.79,0.02,0.7,1.57,-0.95,0.76,0.59,5.73,27.19,22.03,52.26
65.8,46.26,16.87,0.94,0.56,1.74,-1.24,2.14,1.23,15.52,25.54,24.97,50.59
57.3,34.69,11.01,0.07,0.6,1.22,-1.09,3.5,0.45,15.62,44.45,20.35,35.75
107.66,70.13,1.09,-0.09,0.52,1.39,-0.95,1.73,0.87,13.7,23.36,26.23,50.87
94.09,61.53,5.06,0.84,0.65,0.69,-1.7,0.34,0.92,10.9,26.79,27.7,44.14
95.98,74.64,9.24,-0.25,0.72,0.87,-2.01,3.63,0.65,10.15,24.21,23.48,49.63
54.08,34.41,12.63,0.78,0.79,1.04,-0.46,1.59,0.63,11.55,33.37,18.94,44.77
87.76,58.48,8.98,0.99,0.42,1.12,-1.49,2.08,0.19,14.22,24.68,23.24,50.89
67.24,58.41,8.21,1.67,0.52,1.43,-1.31,2.54,0.95,9.49,41.01,18.19,42.33
104.48,78.94,11.76,0.63,0.7,1.8,-1.89,2.02,1.07,13.62,35.31,22.78,41.82
66.68,50.51,16.14,0.56,0.88,1.08,-1.7,2.34,0.1,20.39,32.66,27.71,37.27
109.81,63.74,6.7,-0.02,0.28,1.85,-1.34,2.65,0.7,6.59,34.82,25.04,40.67
69.24,51.94,14.77,0.74,0.74,1.95,-1.84,2.36,0.77,15.81,34.71,31.63,35.72
85.0,49.21,9.68,-0.11,0.46,0.9,-1.14,2.7,0.42,12.91,27.26,18.92,52.77
63.22,56.04,12.89,0.14,0.52,1.36,-1.14,1.28,0.24,21.25,29.67,18.25,49.48
72.78,43.98,8.51,-0.78,0.67,0.95,-0.41,1.67,0.51,19.7,32.08,22.03,44.76
72.29,53.61,15.64,0.45,0.2,1.4,-1.81,2.41,1.35,24.81,30.06,28.35,44.02
39.05,28.15,12.63,-1.16,0.52,0.59,-0.57,1.7,0.53,19.86,31.31,22.48,46.18
87.89,56.82,5.01,1.72,0.78,1.32,-1.16,0.53,1.37,6.55,35.11,19.97,43.41
114.07,84.94,9.88,-0.68,0.73,1.16,-1.03,2.26,0.6,5.95,29.55,25.62,44.22
45.8,28.09,11.07,1.02,0.51,1.12,-2.65,2.49,1.29,20.62,28.62,23.06,47.15
